PassengerId|Pclass|Sex|Age|SibSp|Parch|Fare|Embarked
505|1|female|16|0|0|86|S
506|1|male|18|1|0|108|C
507|2|female|33|0|2|26|S
509|3|male|28|0|0|22|S
510|3|male|26|0|0|56|S
511|3|male|29|0|0|7|Q
513|1|male|36|0|0|26|S
514|1|female|54|1|0|59|C
515|3|male|24|0|0|7|S
516|1|male|47|0|0|34|S
517|2|female|34|0|0|10|S
519|2|female|36|1|0|26|S
520|3|male|32|0|0|7|S
521|1|female|30|0|0|93|S
522|3|male|22|0|0|7|S
524|1|female|44|0|1|57|C
526|3|male|40|0|0|7|Q
527|2|female|50|0|0|10|S
529|3|male|39|0|0|7|S
530|2|male|23|2|1|11|S
531|2|female|2|1|1|26|S
533|3|male|17|1|1|7|C
535|3|female|30|0|0|8|S
536|2|female|7|0|2|26|S
537|1|male|45|0|0|26|S
538|1|female|30|0|0|106|C
540|1|female|22|0|2|49|C
541|1|female|36|0|2|71|S
542|3|female|9|4|2|31|S
543|3|female|11|4|2|31|S
544|2|male|32|1|0|26|S
545|1|male|50|1|0|106|C
546|1|male|64|0|0|26|S
547|2|female|19|1|0|26|S
549|3|male|33|1|1|20|S
550|2|male|8|1|1|36|S
551|1|male|17|0|2|110|C
552|2|male|27|0|0|26|S
554|3|male|22|0|0|7|C
555|3|female|22|0|0|7|S
556|1|male|62|0|0|26|S
557|1|female|48|1|0|39|C
559|1|female|39|1|1|79|S
560|3|female|36|1|0|17|S
562|3|male|40|0|0|7|S
563|2|male|28|0|0|13|S
566|3|male|24|2|0|24|S
567|3|male|19|0|0|7|S
568|3|female|29|0|4|21|S
570|3|male|32|0|0|7|S
571|2|male|62|0|0|10|S
572|1|female|53|2|0|51|S
573|1|male|36|0|0|26|S
575|3|male|16|0|0|8|S
576|3|male|19|0|0|14|S
577|2|female|34|0|0|13|S
578|1|female|39|1|0|55|S
580|3|male|32|0|0|7|S
581|2|female|25|1|1|30|S
582|1|female|39|1|1|110|C
583|2|male|54|0|0|26|S
584|1|male|36|0|0|40|C
586|1|female|18|0|2|79|S
587|2|male|47|0|0|15|S
588|1|male|60|1|1|79|C
589|3|male|22|0|0|8|S
591|3|male|35|0|0|7|S
592|1|female|52|1|0|78|C
593|3|male|47|0|0|7|S
595|2|male|37|1|0|26|S
596|3|male|36|1|1|24|S
598|3|male|49|0|0|0|S
600|1|male|49|1|0|56|C
601|2|female|24|2|1|27|S
604|3|male|44|0|0|8|S
605|1|male|35|0|0|26|C
606|3|male|36|1|0|15|S
607|3|male|30|0|0|7|S
608|1|male|27|0|0|30|S
609|2|female|22|1|2|41|C
610|1|female|40|0|0|153|S
611|3|female|39|1|5|31|S
615|3|male|35|0|0|8|S
616|2|female|24|1|2|65|S
617|3|male|34|1|1|14|S
618|3|female|26|1|0|16|S
619|2|female|4|2|1|39|S
620|2|male|26|0|0|10|S
621|3|male|27|1|0|14|C
622|1|male|42|1|0|52|S
623|3|male|20|1|1|15|C
624|3|male|21|0|0|7|S
625|3|male|21|0|0|16|S
626|1|male|61|0|0|32|S
627|2|male|57|0|0|12|Q
628|1|female|21|0|0|77|S
629|3|male|26|0|0|7|S
631|1|male|80|0|0|30|S
632|3|male|51|0|0|7|S
633|1|male|32|0|0|30|C
635|3|female|9|3|2|27|S
636|2|female|28|0|0|13|S
637|3|male|32|0|0|7|S
638|2|male|31|1|1|26|S
639|3|female|41|0|5|39|S
641|3|male|20|0|0|7|S
642|1|female|24|0|0|69|C
643|3|female|2|3|2|27|S
645|3|female|0|2|1|19|C
646|1|male|48|1|0|76|C
647|3|male|19|0|0|7|S
648|1|male|56|0|0|35|C
650|3|female|23|0|0|7|S
652|2|female|18|0|1|23|S
653|3|male|21|0|0|8|S
655|3|female|18|0|0|6|Q
656|2|male|24|2|0|73|S
658|3|female|32|1|1|15|Q
659|2|male|23|0|0|13|S
660|1|male|58|0|2|113|C
661|1|male|50|2|0|133|S
662|3|male|40|0|0|7|C
663|1|male|47|0|0|25|S
664|3|male|36|0|0|7|S
665|3|male|20|1|0|7|S
666|2|male|32|2|0|73|S
667|2|male|25|0|0|13|S
669|3|male|43|0|0|8|S
671|2|female|40|1|1|39|S
672|1|male|31|1|0|52|S
673|2|male|70|0|0|10|S
674|2|male|31|0|0|13|S
676|3|male|18|0|0|7|S
677|3|male|24|0|0|8|S
678|3|female|18|0|0|9|S
679|3|female|43|1|6|46|S
680|1|male|36|0|1|512|C
682|1|male|27|0|0|76|C
683|3|male|20|0|0|9|S
684|3|male|14|5|2|46|S
685|2|male|60|1|1|39|S
686|2|male|25|1|2|41|C
687|3|male|14|4|1|39|S
688|3|male|19|0|0|10|S
689|3|male|18|0|0|7|S
690|1|female|15|0|1|211|S
691|1|male|31|1|0|57|S
692|3|female|4|0|1|13|C
694|3|male|25|0|0|7|C
695|1|male|60|0|0|26|S
696|2|male|52|0|0|13|S
697|3|male|44|0|0|8|S
699|1|male|49|1|1|110|C
700|3|male|42|0|0|7|S
701|1|female|18|1|0|227|C
702|1|male|35|0|0|26|S
703|3|female|18|0|1|14|C
704|3|male|25|0|0|7|Q
705|3|male|26|1|0|7|S
706|2|male|39|0|0|26|S
707|2|female|45|0|0|13|S
708|1|male|42|0|0|26|S
709|1|female|22|0|0|151|S
711|1|female|24|0|0|49|C
713|1|male|48|1|0|52|S
714|3|male|29|0|0|9|S
715|2|male|52|0|0|13|S
716|3|male|19|0|0|7|S
717|1|female|38|0|0|227|C
718|2|female|27|0|0|10|S
720|3|male|33|0|0|7|S
721|2|female|6|0|1|33|S
722|3|male|17|1|0|7|S
723|2|male|34|0|0|13|S
724|2|male|50|0|0|13|S
725|1|male|27|1|0|53|S
726|3|male|20|0|0|8|S
727|2|female|30|3|0|21|S
729|2|male|25|1|0|26|S
730|3|female|25|1|0|7|S
731|1|female|29|0|0|211|S
732|3|male|11|0|0|18|C
734|2|male|23|0|0|13|S
735|2|male|23|0|0|13|S
736|3|male|28|0|0|16|S
737|3|female|48|1|3|34|S
738|1|male|35|0|0|512|C
742|1|male|36|1|0|78|S
743|1|female|21|2|2|262|C
744|3|male|24|1|0|16|S
745|3|male|31|0|0|7|S
746|1|male|70|1|1|71|S
747|3|male|16|1|1|20|S
748|2|female|30|0|0|13|S
749|1|male|19|1|0|53|S
750|3|male|31|0|0|7|Q
751|2|female|4|1|1|23|S
752|3|male|6|0|1|12|S
753|3|male|33|0|0|9|S
754|3|male|23|0|0|7|S
755|2|female|48|1|2|65|S
756|2|male|0|1|1|14|S
757|3|male|28|0|0|7|S
758|2|male|18|0|0|11|S
759|3|male|34|0|0|8|S
760|1|female|33|0|0|86|S
762|3|male|41|0|0|7|S
763|3|male|20|0|0|7|C
764|1|female|36|1|2|120|S
765|3|male|16|0|0|7|S
766|1|female|51|1|0|77|S
768|3|female|30|0|0|7|Q
770|3|male|32|0|0|8|S
771|3|male|24|0|0|9|S
772|3|male|48|0|0|7|S
773|2|female|57|0|0|10|S
775|2|female|54|1|3|23|S
776|3|male|18|0|0|7|S
778|3|female|5|0|0|12|S
780|1|female|43|0|1|211|S
781|3|female|13|0|0|7|C
782|1|female|17|1|0|57|S
783|1|male|29|0|0|30|S
785|3|male|25|0|0|7|S
786|3|male|25|0|0|7|S
787|3|female|18|0|0|7|S
788|3|male|8|4|1|29|Q
789|3|male|1|1|2|20|S
790|1|male|46|0|0|79|C
792|2|male|16|0|0|26|S
795|3|male|25|0|0|7|S
796|2|male|39|0|0|13|S
797|1|female|49|0|0|25|S
798|3|female|31|0|0|8|S
799|3|male|30|0|0|7|C
800|3|female|30|1|1|24|S
801|2|male|34|0|0|13|S
802|2|female|31|1|1|26|S
803|1|male|11|1|2|120|S
804|3|male|0|0|1|8|C
805|3|male|27|0|0|6|S
806|3|male|31|0|0|7|S
807|1|male|39|0|0|0|S
808|3|female|18|0|0|7|S
809|2|male|39|0|0|13|S
810|1|female|33|1|0|53|S
811|3|male|26|0|0|7|S
812|3|male|39|0|0|24|S
813|2|male|35|0|0|10|S
814|3|female|6|4|2|31|S
815|3|male|30|0|0|8|S
817|3|female|23|0|0|7|S
818|2|male|31|1|1|37|C
819|3|male|43|0|0|6|S
820|3|male|10|3|2|27|S
821|1|female|52|1|1|93|S
822|3|male|27|0|0|8|S
823|1|male|38|0|0|0|S
824|3|female|27|0|1|12|S
825|3|male|2|4|1|39|S
828|2|male|1|0|2|37|C
831|3|female|15|1|0|14|C
832|2|male|0|1|1|18|S
834|3|male|23|0|0|7|S
835|3|male|18|0|0|8|S
836|1|female|39|1|1|83|C
837|3|male|21|0|0|8|S
839|3|male|32|0|0|56|S
841|3|male|20|0|0|7|S
842|2|male|16|0|0|10|S
843|1|female|30|0|0|31|C
844|3|male|34|0|0|6|C
845|3|male|17|0|0|8|S
846|3|male|42|0|0|7|S
848|3|male|35|0|0|7|C
849|2|male|28|0|1|33|S
851|3|male|4|4|2|31|S
852|3|male|74|0|0|7|S
853|3|female|9|1|1|15|C
854|1|female|16|0|1|39|S
855|2|female|44|1|0|26|S
856|3|female|18|0|1|9|S
857|1|female|45|1|1|164|S
858|1|male|51|0|0|26|S
859|3|female|24|0|3|19|C
861|3|male|41|2|0|14|S
862|2|male|21|1|0|11|S
863|1|female|48|0|0|25|S
865|2|male|24|0|0|13|S
866|2|female|42|0|0|13|S
867|2|female|27|1|0|13|C
868|1|male|31|0|0|50|S
870|3|male|4|1|1|11|S
871|3|male|26|0|0|7|S
872|1|female|47|1|1|52|S
873|1|male|33|0|0|5|S
874|3|male|47|0|0|9|S
875|2|female|28|1|0|24|C
876|3|female|15|0|0|7|C
877|3|male|20|0|0|9|S
878|3|male|19|0|0|7|S
880|1|female|56|0|1|83|C
881|2|female|25|0|1|26|S
882|3|male|33|0|0|7|S
883|3|female|22|0|0|10|S
884|2|male|28|0|0|10|S
885|3|male|25|0|0|7|S
886|3|female|39|0|5|29|Q
887|2|male|27|0|0|13|S
888|1|female|19|0|0|30|S
890|1|male|26|0|0|30|C
891|3|male|32|0|0|7|Q
